08-02-2016 12:36:05,681; [main]; INFO ; org.springframework.web.servlet.DispatcherServlet;  - FrameworkServlet 'spring': initialization started
08-02-2016 12:36:05,705; [main]; INFO ; org.springframework.web.context.support.XmlWebApplicationContext;  - Refreshing WebApplicationContext for namespace 'spring-servlet': startup date [Mon Feb 08 12:36:05 BRT 2016]; root of context hierarchy
08-02-2016 12:36:05,746; [main]; INFO ; org.springframework.beans.factory.xml.XmlBeanDefinitionReader;  - Loading XML bean definitions from class path resource [ctx-web-application-context.xml]
08-02-2016 12:36:06,107; [main]; INFO ; org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor;  - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
08-02-2016 12:36:06,245; [main]; INFO ; org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping;  - Mapped "{[/hello/controller],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView org.aadsp.controller.HelloController.hello()
08-02-2016 12:36:06,650; [main]; INFO ; org.springframework.web.servlet.DispatcherServlet;  - FrameworkServlet 'spring': initialization completed in 967 ms
08-02-2016 12:36:58,771; [Scanner-0]; INFO ; org.springframework.web.context.support.XmlWebApplicationContext;  - Closing WebApplicationContext for namespace 'spring-servlet': startup date [Mon Feb 08 12:36:05 BRT 2016]; root of context hierarchy
08-02-2016 12:37:03,751; [Scanner-0]; INFO ; org.springframework.web.servlet.DispatcherServlet;  - FrameworkServlet 'spring': initialization started
08-02-2016 12:37:03,770; [Scanner-0]; INFO ; org.springframework.web.context.support.XmlWebApplicationContext;  - Refreshing WebApplicationContext for namespace 'spring-servlet': startup date [Mon Feb 08 12:37:03 BRT 2016]; root of context hierarchy
08-02-2016 12:37:03,808; [Scanner-0]; INFO ; org.springframework.beans.factory.xml.XmlBeanDefinitionReader;  - Loading XML bean definitions from class path resource [ctx-web-application-context.xml]
08-02-2016 12:37:04,404; [Scanner-0]; INFO ; org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor;  - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
08-02-2016 12:37:04,524; [Scanner-0]; INFO ; org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping;  - Mapped "{[/hello/controller],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public org.springframework.web.servlet.ModelAndView org.aadsp.controller.HelloController.hello()
08-02-2016 12:37:04,848; [Scanner-0]; INFO ; org.springframework.web.servlet.DispatcherServlet;  - FrameworkServlet 'spring': initialization completed in 1096 ms
